Notes :


2019/2/19 ¤U¤È 02:29:25
Volts
Ch : LED 2	Ch : LED 3	Ch : LED 1	Ch : LED 1 AMBIENT	Ch : LED 2 - LED3	Ch : LED 1 - LED 1 AMBIENT	
-36.516380E-3	-9.308624E-3	-534.101486E-3	-162.592506E-3	56.076050E-6	-371.508980E-3
-36.441422E-3	-9.270287E-3	-534.660530E-3	-162.577057E-3	56.076050E-6	-372.083473E-3
-36.487770E-3	-9.212494E-3	-535.243034E-3	-162.836838E-3	56.076050E-6	-372.406197E-3
-36.492348E-3	-9.213638E-3	-535.114861E-3	-162.966728E-3	56.076050E-6	-372.148132E-3
-36.500931E-3	-9.254837E-3	-535.602951E-3	-163.038254E-3	56.076050E-6	-372.564697E-3
-36.492348E-3	-9.233093E-3	-535.610390E-3	-163.061142E-3	56.076050E-6	-372.549248E-3
-36.450577E-3	-9.257698E-3	-535.751152E-3	-163.005638E-3	56.076050E-6	-372.745514E-3
-36.493492E-3	-9.296036E-3	-535.629845E-3	-163.262558E-3	56.076050E-6	-372.367287E-3
-36.490059E-3	-9.287453E-3	-536.082458E-3	-163.502884E-3	56.076050E-6	-372.579575E-3
-36.533546E-3	-9.214783E-3	-536.449242E-3	-163.403893E-3	56.076050E-6	-373.045349E-3
-36.535835E-3	-9.219360E-3	-536.513901E-3	-163.298607E-3	56.076050E-6	-373.215294E-3
-36.568451E-3	-9.211349E-3	-536.682129E-3	-163.282013E-3	56.076050E-6	-373.400116E-3
-36.559868E-3	-9.216499E-3	-536.904716E-3	-163.238525E-3	56.076050E-6	-373.666191E-3
-36.618233E-3	-9.219933E-3	-537.011719E-3	-163.647079E-3	56.076050E-6	-373.364639E-3
-36.687469E-3	-9.221649E-3	-537.202263E-3	-163.806152E-3	56.076050E-6	-373.396111E-3
-36.625099E-3	-9.206772E-3	-537.876320E-3	-163.706017E-3	56.076050E-6	-374.170303E-3
-36.597633E-3	-9.206772E-3	-538.188744E-3	-163.343811E-3	56.076050E-6	-374.844933E-3
-36.581039E-3	-9.239388E-3	-538.153267E-3	-163.401604E-3	56.076050E-6	-374.751663E-3
-36.649704E-3	-9.261703E-3	-538.571548E-3	-163.617897E-3	56.076050E-6	-374.953651E-3
-36.656570E-3	-9.216499E-3	-538.749504E-3	-163.893700E-3	56.076050E-6	-374.855804E-3
-36.777306E-3	-9.259415E-3	-539.107132E-3	-164.059639E-3	56.076050E-6	-375.047493E-3
-36.702347E-3	-9.325218E-3	-538.664246E-3	-163.872528E-3	56.076050E-6	-374.791718E-3
-36.727524E-3	-9.247398E-3	-539.116287E-3	-163.832474E-3	56.076050E-6	-375.283813E-3
-36.754417E-3	-9.322357E-3	-538.727760E-3	-164.057350E-3	56.076050E-6	-374.670410E-3
-36.787033E-3	-9.276581E-3	-539.022446E-3	-164.310265E-3	56.076050E-6	-374.712181E-3
-36.730957E-3	-9.219933E-3	-538.958359E-3	-164.103699E-3	56.076050E-6	-374.854660E-3
-36.679459E-3	-9.224510E-3	-538.566399E-3	-163.783264E-3	56.076050E-6	-374.783134E-3
-36.623955E-3	-9.206200E-3	-537.843704E-3	-163.707733E-3	56.076050E-6	-374.135971E-3
-36.549568E-3	-9.233665E-3	-537.137604E-3	-163.625336E-3	56.076050E-6	-373.512268E-3
-36.631966E-3	-9.226227E-3	-535.996056E-3	-163.138962E-3	56.076050E-6	-372.857094E-3
-36.447716E-3	-9.204483E-3	-534.721756E-3	-162.947845E-3	56.076050E-6	-371.773911E-3
-36.404800E-3	-9.240532E-3	-533.370781E-3	-162.431145E-3	56.076050E-6	-370.939636E-3
-36.306953E-3	-9.219360E-3	-532.740211E-3	-161.995125E-3	56.076050E-6	-370.745087E-3
-36.238289E-3	-9.254265E-3	-532.193756E-3	-161.967087E-3	56.076050E-6	-370.226669E-3
-36.237717E-3	-9.267426E-3	-531.219864E-3	-161.939621E-3	56.076050E-6	-369.280243E-3
-36.159897E-3	-9.244537E-3	-531.271935E-3	-161.759949E-3	56.076050E-6	-369.511986E-3
-36.116982E-3	-9.238815E-3	-531.266785E-3	-161.832047E-3	56.076050E-6	-369.434738E-3
-36.180496E-3	-9.252548E-3	-530.897713E-3	-161.706161E-3	56.076050E-6	-369.191551E-3
-36.159897E-3	-9.155846E-3	-531.019592E-3	-161.659813E-3	56.076050E-6	-369.359779E-3
-36.235428E-3	-9.128380E-3	-531.148338E-3	-161.786842E-3	56.076050E-6	-369.361496E-3
-36.167908E-3	-9.153557E-3	-531.009293E-3	-161.802292E-3	56.076050E-6	-369.207001E-3
-36.205101E-3	-9.268570E-3	-530.189896E-3	-161.764526E-3	56.076050E-6	-368.425369E-3
-36.164474E-3	-9.234810E-3	-530.817604E-3	-161.615181E-3	56.076050E-6	-369.202423E-3
-36.299515E-3	-9.250832E-3	-531.406975E-3	-161.806297E-3	56.076050E-6	-369.600677E-3
-36.238861E-3	-9.195900E-3	-531.991768E-3	-161.771965E-3	56.076050E-6	-370.219803E-3
-36.302376E-3	-9.317780E-3	-531.964302E-3	-161.945343E-3	56.076050E-6	-370.018959E-3
-36.344147E-3	-9.272003E-3	-532.454681E-3	-162.104988E-3	56.076050E-6	-370.349693E-3
-36.278343E-3	-9.211349E-3	-532.550812E-3	-162.112999E-3	56.076050E-6	-370.437813E-3
-36.363029E-3	-9.210777E-3	-533.157349E-3	-162.249756E-3	56.076050E-6	-370.907593E-3
-36.338425E-3	-9.199905E-3	-533.264923E-3	-162.183380E-3	56.076050E-6	-371.081543E-3
-36.316681E-3	-9.239388E-3	-533.296967E-3	-162.313271E-3	56.076050E-6	-370.983696E-3
-36.345291E-3	-9.228516E-3	-533.294678E-3	-162.447166E-3	56.076050E-6	-370.847511E-3
-36.341286E-3	-9.245110E-3	-533.676338E-3	-162.503815E-3	56.076050E-6	-371.172523E-3
-36.396217E-3	-9.198189E-3	-533.953285E-3	-162.371635E-3	56.076050E-6	-371.581650E-3
-36.394501E-3	-9.259987E-3	-533.965874E-3	-162.661743E-3	56.076050E-6	-371.304131E-3
-36.422539E-3	-9.296608E-3	-534.018517E-3	-162.636566E-3	56.076050E-6	-371.381950E-3
-36.423111E-3	-9.249115E-3	-534.231377E-3	-162.561035E-3	56.076050E-6	-371.670341E-3
-36.393356E-3	-9.214783E-3	-534.045982E-3	-162.844276E-3	56.076050E-6	-371.201706E-3
-36.367607E-3	-9.251404E-3	-534.041405E-3	-162.596512E-3	56.076050E-6	-371.444893E-3
-36.395645E-3	-9.222794E-3	-534.312630E-3	-162.743568E-3	56.076050E-6	-371.569061E-3
-36.468887E-3	-9.260559E-3	-534.920883E-3	-162.952423E-3	56.076050E-6	-371.968460E-3
-36.436844E-3	-9.223366E-3	-534.382439E-3	-162.989044E-3	56.076050E-6	-371.393394E-3
-36.405945E-3	-9.239960E-3	-534.872818E-3	-162.789917E-3	56.076050E-6	-372.082901E-3
-36.393929E-3	-9.272003E-3	-534.519196E-3	-162.729836E-3	56.076050E-6	-371.789360E-3
-36.456299E-3	-9.205627E-3	-535.069084E-3	-162.903786E-3	56.076050E-6	-372.165298E-3
-36.520958E-3	-9.204483E-3	-535.359192E-3	-163.290596E-3	56.076050E-6	-372.068596E-3
-36.464882E-3	-9.205055E-3	-535.582352E-3	-163.165283E-3	56.076050E-6	-372.417068E-3
-36.500359E-3	-9.232521E-3	-535.283089E-3	-163.078880E-3	56.076050E-6	-372.204208E-3
-36.508942E-3	-9.282303E-3	-534.934616E-3	-163.319778E-3	56.076050E-6	-371.614838E-3
-36.497498E-3	-9.262276E-3	-535.739708E-3	-163.299179E-3	56.076050E-6	-372.440529E-3
-36.490059E-3	-9.269714E-3	-535.770607E-3	-162.866020E-3	56.076050E-6	-372.904587E-3
-36.541557E-3	-9.246254E-3	-536.373138E-3	-162.877464E-3	56.076050E-6	-373.495674E-3
-36.557579E-3	-9.254837E-3	-536.712456E-3	-163.155556E-3	56.076050E-6	-373.556900E-3
-36.565018E-3	-9.251976E-3	-536.830330E-3	-163.330650E-3	55.503845E-6	-373.499680E-3
-36.579895E-3	-9.309196E-3	-537.050629E-3	-163.546371E-3	55.503845E-6	-373.504257E-3
-36.603928E-3	-9.269714E-3	-537.412834E-3	-163.560677E-3	55.503845E-6	-373.852158E-3
-36.606216E-3	-9.325790E-3	-537.206841E-3	-163.568687E-3	55.503845E-6	-373.638153E-3
-36.673737E-3	-9.292030E-3	-537.377357E-3	-163.588715E-3	55.503845E-6	-373.788643E-3
-36.629677E-3	-9.259415E-3	-537.786484E-3	-163.585854E-3	55.503845E-6	-374.200630E-3
-36.680603E-3	-9.260559E-3	-537.665176E-3	-163.758087E-3	55.503845E-6	-373.907089E-3
-36.655426E-3	-9.251976E-3	-538.319778E-3	-163.970947E-3	55.503845E-6	-374.348831E-3
-36.683464E-3	-9.243965E-3	-538.529205E-3	-164.105415E-3	55.503845E-6	-374.423790E-3
-36.683464E-3	-9.242249E-3	-538.586426E-3	-163.938332E-3	55.503845E-6	-374.648094E-3
-36.686325E-3	-9.233665E-3	-538.748360E-3	-163.970375E-3	55.503845E-6	-374.777985E-3
-36.691475E-3	-9.220505E-3	-538.488007E-3	-164.014435E-3	55.503845E-6	-374.473572E-3
-36.662292E-3	-9.199333E-3	-538.321495E-3	-163.885117E-3	55.503845E-6	-374.436378E-3
-36.627960E-3	-9.234810E-3	-537.815666E-3	-163.623619E-3	55.503845E-6	-374.192047E-3
-36.598778E-3	-9.258842E-3	-536.307335E-3	-163.232803E-3	55.503845E-6	-373.074532E-3
-36.541557E-3	-9.268570E-3	-535.541725E-3	-163.247681E-3	55.503845E-6	-372.294044E-3
-36.412239E-3	-9.263992E-3	-534.758949E-3	-162.825966E-3	55.503845E-6	-371.932983E-3
-36.346436E-3	-9.207916E-3	-534.101486E-3	-162.649155E-3	55.503845E-6	-371.452332E-3
-36.352730E-3	-9.251976E-3	-533.006859E-3	-162.375641E-3	55.503845E-6	-370.631218E-3
-36.275482E-3	-9.136963E-3	-532.260132E-3	-162.074661E-3	55.503845E-6	-370.185471E-3
-36.287498E-3	-9.201050E-3	-531.829262E-3	-161.819458E-3	55.503845E-6	-370.009804E-3
-36.240578E-3	-9.253120E-3	-530.659676E-3	-161.763382E-3	55.503845E-6	-368.896294E-3
-36.194229E-3	-9.299469E-3	-530.898285E-3	-161.995125E-3	55.503845E-6	-368.903160E-3
-36.233711E-3	-9.226227E-3	-530.817032E-3	-161.805725E-3	55.503845E-6	-369.011307E-3
-36.197090E-3	-9.243393E-3	-530.625916E-3	-161.258698E-3	55.503845E-6	-369.367218E-3
-36.225700E-3	-9.213066E-3	-530.992699E-3	-161.138535E-3	55.503845E-6	-369.854164E-3
-36.251450E-3	-9.257126E-3	-531.274223E-3	-161.544800E-3	55.503845E-6	-369.729424E-3
-36.263466E-3	-9.272003E-3	-531.432724E-3	-161.825752E-3	55.503845E-6	-369.606972E-3
-36.261177E-3	-9.279442E-3	-531.471634E-3	-161.898422E-3	55.503845E-6	-369.573212E-3
-36.256027E-3	-9.277153E-3	-531.866455E-3	-162.087250E-3	55.503845E-6	-369.779205E-3
-36.254883E-3	-9.226227E-3	-531.957436E-3	-161.937904E-3	55.503845E-6	-370.019531E-3
-36.259460E-3	-9.266853E-3	-532.238388E-3	-162.137032E-3	55.503845E-6	-370.101357E-3
-36.239433E-3	-9.210205E-3	-532.670403E-3	-162.313843E-3	55.503845E-6	-370.356560E-3
-36.293221E-3	-9.221649E-3	-532.917023E-3	-162.291527E-3	55.503845E-6	-370.625496E-3
