Notes :


2019/2/12 ¤W¤È 11:10:17
Volts
Ch : LED 2	Ch : LED 3	Ch : LED 1	Ch : LED 1 AMBIENT	Ch : LED 2 - LED3	Ch : LED 1 - LED 1 AMBIENT	
137.013817E-3	210.804749E-3	363.921547E-3	168.733406E-3	42.915344E-6	195.188141E-3
137.447548E-3	211.127472E-3	364.603615E-3	168.769455E-3	42.915344E-6	195.834160E-3
138.205719E-3	212.128258E-3	365.948296E-3	169.610596E-3	42.915344E-6	196.337700E-3
137.709045E-3	211.498260E-3	365.398979E-3	168.996048E-3	42.915344E-6	196.402931E-3
138.474655E-3	212.097359E-3	366.187477E-3	169.779396E-3	42.915344E-6	196.408081E-3
137.604332E-3	211.091423E-3	365.584373E-3	168.894196E-3	42.915344E-6	196.690178E-3
137.993431E-3	211.647034E-3	366.221237E-3	169.299316E-3	42.915344E-6	196.921921E-3
138.793945E-3	212.388039E-3	367.353630E-3	170.261192E-3	42.915344E-6	197.092438E-3
138.250351E-3	211.847878E-3	367.058945E-3	169.594574E-3	42.915344E-6	197.464371E-3
139.181900E-3	212.600899E-3	367.999077E-3	170.057487E-3	42.915344E-6	197.941589E-3
138.234901E-3	211.644173E-3	367.461205E-3	169.045258E-3	42.915344E-6	198.415947E-3
138.640594E-3	212.067604E-3	368.036270E-3	169.631195E-3	42.915344E-6	198.405075E-3
139.441681E-3	212.748528E-3	368.885422E-3	170.344734E-3	42.915344E-6	198.540688E-3
138.858604E-3	212.091637E-3	368.547821E-3	169.707870E-3	42.915344E-6	198.839951E-3
139.756966E-3	213.009453E-3	369.578362E-3	170.238304E-3	42.915344E-6	199.340057E-3
138.736725E-3	211.966324E-3	368.714333E-3	169.277000E-3	42.915344E-6	199.437332E-3
139.155579E-3	212.307930E-3	369.390678E-3	169.717026E-3	42.915344E-6	199.673653E-3
139.667702E-3	213.007736E-3	370.487595E-3	170.238876E-3	42.915344E-6	200.248718E-3
139.288330E-3	212.402916E-3	370.071030E-3	169.666100E-3	42.915344E-6	200.404930E-3
140.154648E-3	213.205719E-3	371.289253E-3	170.372772E-3	42.915344E-6	200.916481E-3
139.229965E-3	212.297630E-3	370.568848E-3	169.426918E-3	42.915344E-6	201.141930E-3
139.718056E-3	212.661552E-3	370.908737E-3	169.968796E-3	38.909912E-6	200.939941E-3
139.913750E-3	212.934494E-3	371.155930E-3	170.576477E-3	38.909912E-6	200.579453E-3
139.239120E-3	212.325096E-3	369.878197E-3	169.650078E-3	38.909912E-6	200.228119E-3
139.762115E-3	212.816048E-3	369.591522E-3	170.306396E-3	38.909912E-6	199.285126E-3
138.238335E-3	211.623001E-3	367.422295E-3	169.092178E-3	38.909912E-6	198.330116E-3
138.123322E-3	211.692238E-3	366.351700E-3	169.308472E-3	38.909912E-6	197.043228E-3
137.841797E-3	211.594391E-3	365.286255E-3	169.588280E-3	38.909912E-6	195.697975E-3
136.919975E-3	210.783577E-3	363.303566E-3	168.742561E-3	38.909912E-6	194.561005E-3
137.363434E-3	211.386681E-3	362.833214E-3	169.321632E-3	38.909912E-6	193.511581E-3
135.852242E-3	210.042572E-3	360.799026E-3	168.203545E-3	38.909912E-6	192.595482E-3
136.013603E-3	210.270882E-3	360.482025E-3	168.134880E-3	38.909912E-6	192.347145E-3
136.035919E-3	210.391045E-3	360.235977E-3	168.411827E-3	38.909912E-6	191.824150E-3
135.404205E-3	209.802818E-3	359.310722E-3	167.860222E-3	38.909912E-6	191.450500E-3
136.238480E-3	210.624504E-3	359.882927E-3	168.440437E-3	38.909912E-6	191.442490E-3
135.114670E-3	209.334183E-3	358.696747E-3	167.444229E-3	38.909912E-6	191.252518E-3
135.484886E-3	209.704971E-3	359.096146E-3	167.737198E-3	38.909912E-6	191.358948E-3
135.569572E-3	209.812546E-3	359.219170E-3	168.043327E-3	38.909912E-6	191.175842E-3
135.273743E-3	209.397697E-3	358.685303E-3	167.431068E-3	38.909912E-6	191.254234E-3
136.122322E-3	210.283470E-3	359.528160E-3	168.482780E-3	38.909912E-6	191.045380E-3
135.023117E-3	209.300995E-3	358.451843E-3	167.276001E-3	38.909912E-6	191.175842E-3
135.597038E-3	209.803963E-3	358.890152E-3	167.795563E-3	38.909912E-6	191.094589E-3
135.621643E-3	209.823990E-3	359.063530E-3	168.120003E-3	38.909912E-6	190.943527E-3
135.285187E-3	209.509277E-3	358.765411E-3	167.508316E-3	38.909912E-6	191.257095E-3
136.224747E-3	210.440826E-3	359.811401E-3	168.556023E-3	38.909912E-6	191.255379E-3
135.255432E-3	209.460640E-3	358.905029E-3	167.277718E-3	38.909912E-6	191.627312E-3
135.920906E-3	209.982491E-3	359.694672E-3	167.791557E-3	38.909912E-6	191.903114E-3
136.017036E-3	210.123253E-3	360.123825E-3	168.271637E-3	38.909912E-6	191.852188E-3
135.798454E-3	209.937286E-3	360.069466E-3	167.645073E-3	38.909912E-6	192.424393E-3
136.939430E-3	210.960388E-3	361.427307E-3	168.807220E-3	38.909912E-6	192.620087E-3
135.921478E-3	209.715271E-3	360.527229E-3	167.724037E-3	38.909912E-6	192.803192E-3
136.297989E-3	210.231972E-3	361.218452E-3	168.166924E-3	38.909912E-6	193.051529E-3
136.384964E-3	210.353279E-3	361.466789E-3	168.518257E-3	38.909912E-6	192.948532E-3
136.100578E-3	210.086060E-3	361.165237E-3	168.083954E-3	38.909912E-6	193.081284E-3
