Notes :


2019/2/12 ¤U¤È 03:05:35
Volts
Ch : LED 2	Ch : LED 3	Ch : LED 1	Ch : LED 1 AMBIENT	Ch : LED 2 - LED3	Ch : LED 1 - LED 1 AMBIENT	
157.689857E-3	217.082405E-3	420.280838E-3	34.713364E-3	50.926208E-6	385.567474E-3
158.436012E-3	217.920685E-3	421.255302E-3	35.201454E-3	50.926208E-6	386.053848E-3
157.804298E-3	217.239189E-3	421.104813E-3	34.393501E-3	50.926208E-6	386.711311E-3
158.400536E-3	217.728424E-3	421.859550E-3	34.693909E-3	50.926208E-6	387.165642E-3
158.842278E-3	218.223381E-3	422.887802E-3	35.355949E-3	50.926208E-6	387.531853E-3
158.493233E-3	217.823410E-3	422.764206E-3	34.943390E-3	50.926208E-6	387.820816E-3
159.194756E-3	218.479156E-3	423.807907E-3	35.544777E-3	50.926208E-6	388.263130E-3
158.525276E-3	217.729568E-3	423.470306E-3	34.570312E-3	50.926208E-6	388.899994E-3
159.060860E-3	218.165016E-3	424.429321E-3	35.041809E-3	50.926208E-6	389.387512E-3
159.472847E-3	218.471718E-3	425.319099E-3	35.616302E-3	50.926208E-6	389.702797E-3
159.435654E-3	218.182182E-3	425.349998E-3	35.043526E-3	50.926208E-6	390.306473E-3
160.176659E-3	218.900299E-3	426.283836E-3	35.777092E-3	50.926208E-6	390.506744E-3
159.440804E-3	218.223953E-3	425.755692E-3	34.937668E-3	50.926208E-6	390.818024E-3
159.919739E-3	218.661118E-3	426.286697E-3	35.184860E-3	50.926208E-6	391.101837E-3
160.062218E-3	218.678856E-3	426.568794E-3	35.504150E-3	50.926208E-6	391.064644E-3
159.742928E-3	218.434525E-3	426.453781E-3	35.045815E-3	50.926208E-6	391.407967E-3
160.501671E-3	219.258499E-3	427.479744E-3	35.762215E-3	50.926208E-6	391.717529E-3
159.797287E-3	218.379593E-3	427.029419E-3	34.940529E-3	50.926208E-6	392.088890E-3
160.311127E-3	218.709183E-3	427.376175E-3	35.279846E-3	50.926208E-6	392.096329E-3
160.290527E-3	218.582153E-3	427.408791E-3	35.413742E-3	50.926208E-6	391.995049E-3
159.946632E-3	218.173599E-3	427.009392E-3	35.083580E-3	50.926208E-6	391.925812E-3
160.751724E-3	218.787003E-3	427.623367E-3	35.751343E-3	50.926208E-6	391.872025E-3
159.721184E-3	217.687798E-3	426.502991E-3	34.925079E-3	50.926208E-6	391.577911E-3
160.013008E-3	217.927551E-3	426.634598E-3	35.324478E-3	50.926208E-6	391.310120E-3
159.924316E-3	217.757034E-3	426.493263E-3	35.335350E-3	50.926208E-6	391.157913E-3
159.772110E-3	217.460632E-3	426.211166E-3	35.063553E-3	50.926208E-6	391.147614E-3
160.609245E-3	218.361282E-3	427.234268E-3	35.825729E-3	50.926208E-6	391.408539E-3
159.884834E-3	217.453766E-3	426.725578E-3	34.901047E-3	50.926208E-6	391.824532E-3
160.403252E-3	218.001938E-3	427.616501E-3	35.358238E-3	50.926208E-6	392.258263E-3
160.485077E-3	218.127823E-3	428.061676E-3	35.533905E-3	50.926208E-6	392.527771E-3
160.518265E-3	218.161583E-3	428.305435E-3	35.306740E-3	50.926208E-6	392.998695E-3
