Notes :


2019/2/18 ¤U¤È 02:38:25
Volts
Ch : LED 2	Ch : LED 3	Ch : LED 1	Ch : LED 1 AMBIENT	Ch : LED 2 - LED3	Ch : LED 1 - LED 1 AMBIENT	
130.242920E-3	196.759415E-3	343.437767E-3	152.074814E-3	48.637390E-6	191.362953E-3
130.792809E-3	197.186852E-3	344.550705E-3	152.358627E-3	48.637390E-6	192.192078E-3
130.617714E-3	196.961403E-3	344.950676E-3	152.296829E-3	48.637390E-6	192.653847E-3
131.010246E-3	197.202873E-3	345.848465E-3	152.593803E-3	48.637390E-6	193.254662E-3
131.970406E-3	198.288345E-3	347.420883E-3	153.429222E-3	48.637390E-6	193.991661E-3
131.768417E-3	197.914124E-3	347.861481E-3	153.130531E-3	48.637390E-6	194.730949E-3
132.453918E-3	198.375320E-3	348.901749E-3	153.387451E-3	48.637390E-6	195.514297E-3
132.107735E-3	198.172760E-3	349.008179E-3	153.036690E-3	48.637390E-6	195.971489E-3
132.444763E-3	198.293495E-3	349.946594E-3	153.277016E-3	48.637390E-6	196.669579E-3
133.238411E-3	199.178696E-3	351.233482E-3	153.914452E-3	48.637390E-6	197.319031E-3
133.015251E-3	198.767281E-3	351.438332E-3	153.817749E-3	48.637390E-6	197.620583E-3
133.684158E-3	199.185562E-3	352.397346E-3	153.996849E-3	48.637390E-6	198.400497E-3
133.323097E-3	198.773575E-3	352.399635E-3	153.549385E-3	48.637390E-6	198.850250E-3
133.641815E-3	199.059677E-3	353.201294E-3	153.803444E-3	48.637390E-6	199.397850E-3
134.286118E-3	199.837875E-3	354.022408E-3	154.379082E-3	48.637390E-6	199.643326E-3
133.768845E-3	199.194145E-3	353.276825E-3	153.973961E-3	48.637390E-6	199.302864E-3
133.818626E-3	199.421310E-3	352.701187E-3	154.249763E-3	48.637390E-6	198.451424E-3
132.507133E-3	198.457146E-3	350.153160E-3	153.283310E-3	48.637390E-6	196.869850E-3
131.719208E-3	197.946739E-3	347.911835E-3	153.044701E-3	48.637390E-6	194.867134E-3
131.179047E-3	197.844315E-3	345.768929E-3	153.040123E-3	48.637390E-6	192.728806E-3
129.909325E-3	196.746254E-3	342.525101E-3	152.101135E-3	48.637390E-6	190.423965E-3
129.392624E-3	196.485329E-3	340.255165E-3	151.938629E-3	48.637390E-6	188.316536E-3
127.783585E-3	195.313454E-3	336.892891E-3	150.768471E-3	48.637390E-6	186.124420E-3
126.981354E-3	194.808197E-3	334.807777E-3	150.619125E-3	48.637390E-6	184.188652E-3
126.595688E-3	194.892311E-3	333.148956E-3	150.566483E-3	48.637390E-6	182.582474E-3
125.693321E-3	193.957329E-3	331.252670E-3	149.943352E-3	48.637390E-6	181.309319E-3
126.005745E-3	194.247437E-3	330.521393E-3	150.286102E-3	48.637390E-6	180.235291E-3
124.852753E-3	193.417168E-3	328.896332E-3	149.434090E-3	48.637390E-6	179.462242E-3
124.697113E-3	193.306160E-3	328.295517E-3	149.468994E-3	48.637390E-6	178.826523E-3
124.688530E-3	193.631172E-3	327.951622E-3	149.702454E-3	48.637390E-6	178.249168E-3
124.227333E-3	193.065262E-3	327.118492E-3	149.378014E-3	48.637390E-6	177.740479E-3
124.712563E-3	193.536758E-3	327.104187E-3	149.804878E-3	48.637390E-6	177.299309E-3
123.747253E-3	192.589760E-3	325.951767E-3	149.087334E-3	48.637390E-6	176.864433E-3
123.806190E-3	192.658424E-3	325.893402E-3	149.252701E-3	48.637390E-6	176.640701E-3
123.958397E-3	193.033791E-3	325.804710E-3	149.365997E-3	48.637390E-6	176.438713E-3
123.763275E-3	192.604637E-3	325.561523E-3	148.845291E-3	48.637390E-6	176.716232E-3
124.472237E-3	193.358803E-3	326.279640E-3	149.607468E-3	48.637390E-6	176.672173E-3
123.803329E-3	192.601776E-3	325.820732E-3	148.868179E-3	48.637390E-6	176.952553E-3
123.987007E-3	192.874146E-3	326.517105E-3	149.109650E-3	48.637390E-6	177.407455E-3
124.354362E-3	193.336487E-3	327.172852E-3	149.391174E-3	48.637390E-6	177.781677E-3
124.475670E-3	193.307304E-3	327.755928E-3	149.372292E-3	48.637390E-6	178.383636E-3
125.481033E-3	194.217110E-3	329.179573E-3	150.277519E-3	48.637390E-6	178.902054E-3
125.060463E-3	193.654633E-3	329.029083E-3	149.532509E-3	48.637390E-6	179.496574E-3
125.288200E-3	193.808556E-3	329.847336E-3	149.970818E-3	48.637390E-6	179.876518E-3
125.712204E-3	194.292641E-3	330.682755E-3	150.228310E-3	48.637390E-6	180.454445E-3
125.763702E-3	194.227982E-3	331.163979E-3	150.106430E-3	48.637390E-6	181.057549E-3
126.723862E-3	195.080566E-3	332.448006E-3	151.009369E-3	48.637390E-6	181.438637E-3
126.302147E-3	194.621086E-3	332.224846E-3	150.346184E-3	48.637390E-6	181.878662E-3
126.486397E-3	194.654846E-3	332.616234E-3	150.464630E-3	48.637390E-6	182.151604E-3
126.543045E-3	194.901466E-3	332.865715E-3	150.477791E-3	48.637390E-6	182.387924E-3
126.405144E-3	194.573593E-3	333.021927E-3	150.410843E-3	48.637390E-6	182.611084E-3
127.317238E-3	195.454216E-3	334.013557E-3	151.147842E-3	48.637390E-6	182.865715E-3
126.846313E-3	194.879150E-3	333.831596E-3	150.738144E-3	48.637390E-6	183.093452E-3
126.885223E-3	194.816780E-3	334.181786E-3	150.874901E-3	48.637390E-6	183.306885E-3
127.098083E-3	195.093727E-3	334.530830E-3	150.957870E-3	48.637390E-6	183.572960E-3
127.142143E-3	195.055389E-3	334.788895E-3	150.911522E-3	48.637390E-6	183.877373E-3
128.052521E-3	196.038437E-3	335.959053E-3	151.692009E-3	48.637390E-6	184.267044E-3
127.689171E-3	195.467949E-3	335.885239E-3	151.302338E-3	48.637390E-6	184.582901E-3
127.816200E-3	195.513725E-3	336.448288E-3	151.317215E-3	48.637390E-6	185.131073E-3
127.917480E-3	195.775223E-3	336.968994E-3	151.377869E-3	48.637390E-6	185.591125E-3
128.041649E-3	195.721436E-3	337.534332E-3	151.415062E-3	48.637390E-6	186.119270E-3
129.089355E-3	196.698189E-3	338.830376E-3	152.205849E-3	48.637390E-6	186.624527E-3
128.746033E-3	196.221542E-3	338.926506E-3	151.800156E-3	48.637390E-6	187.126350E-3
128.934288E-3	196.186638E-3	339.434624E-3	151.985550E-3	48.637390E-6	187.449074E-3
128.968048E-3	196.441269E-3	340.108681E-3	151.708031E-3	48.637390E-6	188.400650E-3
129.245567E-3	196.574020E-3	340.980721E-3	151.930618E-3	48.637390E-6	189.050102E-3
130.404854E-3	197.654915E-3	342.579460E-3	152.826118E-3	48.637390E-6	189.753342E-3
130.147934E-3	197.123909E-3	342.778587E-3	152.482224E-3	48.637390E-6	190.296364E-3
130.508995E-3	197.340775E-3	343.647194E-3	152.714539E-3	48.637390E-6	190.932655E-3
130.494118E-3	197.428894E-3	344.078064E-3	152.636719E-3	48.637390E-6	191.441345E-3
130.835152E-3	197.503853E-3	344.990158E-3	152.810669E-3	48.637390E-6	192.179489E-3
131.799316E-3	198.548126E-3	346.494484E-3	153.659248E-3	48.637390E-6	192.835236E-3
131.528664E-3	198.089218E-3	346.543121E-3	152.926826E-3	48.637390E-6	193.616295E-3
131.881714E-3	198.204231E-3	347.315025E-3	153.416061E-3	48.637390E-6	193.898964E-3
131.661415E-3	198.070908E-3	347.571373E-3	152.970314E-3	48.637390E-6	194.601059E-3
131.858253E-3	198.066330E-3	348.290634E-3	153.265572E-3	48.637390E-6	195.025063E-3
132.814980E-3	199.056816E-3	349.824142E-3	154.106712E-3	48.637390E-6	195.717430E-3
132.679367E-3	198.576736E-3	350.061607E-3	153.592873E-3	48.637390E-6	196.468735E-3
133.255577E-3	199.044228E-3	351.000023E-3	153.929329E-3	48.637390E-6	197.070694E-3
132.976913E-3	198.873138E-3	351.379967E-3	153.692436E-3	48.637390E-6	197.687531E-3
133.291054E-3	198.997307E-3	352.180481E-3	153.890419E-3	48.637390E-6	198.290062E-3
134.307861E-3	199.976921E-3	353.611565E-3	154.709816E-3	48.637390E-6	198.901749E-3
134.208298E-3	199.568367E-3	354.034424E-3	154.538727E-3	48.637390E-6	199.495697E-3
134.755325E-3	199.889946E-3	355.065536E-3	154.722977E-3	48.637390E-6	200.342560E-3
134.315872E-3	199.623871E-3	355.219460E-3	154.201126E-3	48.637390E-6	201.018333E-3
134.577942E-3	199.772072E-3	355.991936E-3	154.373932E-3	48.637390E-6	201.618004E-3
135.178185E-3	200.568008E-3	356.540108E-3	154.989052E-3	48.637390E-6	201.551056E-3
134.535027E-3	199.781227E-3	355.480957E-3	154.460335E-3	48.637390E-6	201.020622E-3
134.427452E-3	199.822426E-3	354.347420E-3	154.737854E-3	48.637390E-6	199.609566E-3
132.984924E-3	198.813629E-3	351.486397E-3	153.656960E-3	48.637390E-6	197.829437E-3
132.098579E-3	198.183632E-3	348.915482E-3	153.345680E-3	48.637390E-6	195.569801E-3
131.601906E-3	198.172188E-3	346.454430E-3	153.430367E-3	48.637390E-6	193.024063E-3
130.046654E-3	196.920204E-3	343.100166E-3	152.376938E-3	48.637390E-6	190.723228E-3
129.496193E-3	196.622086E-3	340.525818E-3	152.233315E-3	48.637390E-6	188.292503E-3
127.779579E-3	195.404434E-3	337.098312E-3	150.884056E-3	48.637390E-6	186.214256E-3
126.971626E-3	194.855118E-3	334.893036E-3	150.789070E-3	48.637390E-6	184.103966E-3
126.611710E-3	195.060539E-3	333.223915E-3	150.815964E-3	48.637390E-6	182.407951E-3
125.693321E-3	194.119263E-3	331.101608E-3	150.047493E-3	48.637390E-6	181.054115E-3
125.691605E-3	194.210243E-3	330.138016E-3	150.462914E-3	48.637390E-6	179.675102E-3
124.658775E-3	193.374825E-3	328.224564E-3	149.457550E-3	48.637390E-6	178.767014E-3
124.439049E-3	193.190002E-3	327.369690E-3	149.577713E-3	48.637390E-6	177.791977E-3
124.443054E-3	193.585396E-3	326.899338E-3	149.867249E-3	48.637390E-6	177.032089E-3
123.823929E-3	192.877579E-3	325.788116E-3	149.265289E-3	48.637390E-6	176.522827E-3
124.076843E-3	193.238640E-3	325.587273E-3	149.675560E-3	48.637390E-6	175.911713E-3
123.143578E-3	192.473602E-3	324.322701E-3	148.548889E-3	48.637390E-6	175.773811E-3
123.164177E-3	192.408943E-3	324.037170E-3	148.866463E-3	48.637390E-6	175.170708E-3
123.371315E-3	192.744255E-3	324.029732E-3	149.012947E-3	48.637390E-6	175.016785E-3
122.955894E-3	192.271614E-3	323.532486E-3	148.666191E-3	48.637390E-6	174.866295E-3
123.480606E-3	192.806625E-3	324.042320E-3	149.510193E-3	48.637390E-6	174.532127E-3
122.752762E-3	192.143440E-3	323.467827E-3	148.611832E-3	48.637390E-6	174.855995E-3
123.076057E-3	192.299080E-3	323.944473E-3	148.670769E-3	48.637390E-6	175.273705E-3
