Notes :


2018/11/23 ¤W¤È 11:24:19
Volts
Ch : LED 2	Ch : LED 3	Ch : LED 1	Ch : LED 1 AMBIENT	Ch : LED 2 - LED3	Ch : LED 1 - LED 1 AMBIENT	
193.462944E-3	173.310471E-3	521.917534E-3	44.131279E-3	57.792664E-6	477.786255E-3
191.405869E-3	173.318481E-3	514.877129E-3	44.631958E-3	57.792664E-6	470.245171E-3
187.459946E-3	170.989609E-3	506.729507E-3	42.013550E-3	57.792664E-6	464.715958E-3
187.593842E-3	172.234154E-3	503.623581E-3	43.219757E-3	57.792664E-6	460.403824E-3
185.742760E-3	171.014786E-3	500.255013E-3	42.415810E-3	57.792664E-6	457.839203E-3
185.130501E-3	170.652008E-3	498.440552E-3	42.212677E-3	57.792664E-6	456.227875E-3
185.824585E-3	171.536636E-3	498.255157E-3	43.222618E-3	57.792664E-6	455.032539E-3
183.848763E-3	169.659805E-3	496.355438E-3	41.380119E-3	57.792664E-6	454.975319E-3
185.980225E-3	171.548080E-3	498.565865E-3	42.953682E-3	57.792664E-6	455.612183E-3
185.159683E-3	170.712662E-3	498.684311E-3	42.240715E-3	57.792664E-6	456.443596E-3
185.408592E-3	170.672607E-3	499.141502E-3	42.067909E-3	57.792664E-6	457.073593E-3
186.772156E-3	171.748924E-3	501.437187E-3	43.480682E-3	57.792664E-6	457.956505E-3
185.663795E-3	170.262909E-3	501.390839E-3	41.627884E-3	57.792664E-6	459.762955E-3
188.191795E-3	172.469330E-3	505.134773E-3	43.616867E-3	57.792664E-6	461.517906E-3
187.874794E-3	171.465683E-3	506.797028E-3	43.109322E-3	57.792664E-6	463.687706E-3
188.513947E-3	171.803856E-3	508.708763E-3	43.104744E-3	57.792664E-6	465.604019E-3
190.470886E-3	172.995758E-3	512.183189E-3	44.199944E-3	57.792664E-6	467.983246E-3
190.003395E-3	171.518326E-3	513.414001E-3	42.755127E-3	57.792664E-6	470.658875E-3
192.723656E-3	173.820877E-3	518.062019E-3	45.030785E-3	57.792664E-6	473.031235E-3
192.297935E-3	172.976303E-3	519.769478E-3	44.101524E-3	57.792664E-6	475.667953E-3
193.061829E-3	173.165703E-3	521.549606E-3	44.372749E-3	57.792664E-6	477.176857E-3
194.733810E-3	174.270630E-3	524.106789E-3	45.548630E-3	57.792664E-6	478.558159E-3
194.090652E-3	173.051834E-3	524.053574E-3	43.946457E-3	57.792664E-6	480.107117E-3
195.798683E-3	174.826241E-3	527.050209E-3	45.945740E-3	57.792664E-6	481.104469E-3
194.922638E-3	173.718452E-3	527.222443E-3	44.935226E-3	57.792664E-6	482.287216E-3
195.257378E-3	173.989105E-3	527.528572E-3	44.876862E-3	57.792664E-6	482.651711E-3
196.203232E-3	174.849701E-3	528.661537E-3	45.800400E-3	57.792664E-6	482.861137E-3
195.140076E-3	173.919296E-3	527.430725E-3	44.258881E-3	57.792664E-6	483.171844E-3
196.370316E-3	174.842262E-3	528.705597E-3	45.858765E-3	58.364868E-6	482.846832E-3
195.104027E-3	173.687553E-3	528.386307E-3	44.782448E-3	58.364868E-6	483.603859E-3
195.602989E-3	174.078941E-3	528.263855E-3	44.904327E-3	58.364868E-6	483.359528E-3
196.283913E-3	174.797058E-3	529.032898E-3	45.782089E-3	58.364868E-6	483.250809E-3
195.410728E-3	173.822594E-3	528.245544E-3	44.689751E-3	58.364868E-6	483.555794E-3
196.715355E-3	174.965858E-3	529.914093E-3	45.940590E-3	58.364868E-6	483.973503E-3
195.503998E-3	173.608017E-3	529.162788E-3	44.729805E-3	58.364868E-6	484.432983E-3
196.104240E-3	174.244308E-3	529.833412E-3	45.108032E-3	58.364868E-6	484.725380E-3
197.119331E-3	175.043106E-3	530.865097E-3	45.825577E-3	58.364868E-6	485.039520E-3
196.144867E-3	174.051476E-3	530.341530E-3	44.730377E-3	58.364868E-6	485.611153E-3
197.514153E-3	175.422478E-3	532.141113E-3	46.123695E-3	58.364868E-6	486.017418E-3
196.313667E-3	174.056625E-3	531.658745E-3	44.681740E-3	58.364868E-6	486.977005E-3
197.205162E-3	174.664879E-3	533.046341E-3	45.439339E-3	58.364868E-6	487.607002E-3
197.934723E-3	175.342369E-3	533.981323E-3	46.104813E-3	58.364868E-6	487.876511E-3
197.359657E-3	174.458885E-3	533.655739E-3	45.064545E-3	58.364868E-6	488.591194E-3
198.860550E-3	175.836182E-3	535.682487E-3	46.610641E-3	58.364868E-6	489.071846E-3
197.569084E-3	174.313545E-3	535.090256E-3	45.036507E-3	58.364868E-6	490.053749E-3
198.509789E-3	175.132942E-3	536.043549E-3	45.529747E-3	58.364868E-6	490.513802E-3
199.019051E-3	175.670815E-3	537.284660E-3	46.231842E-3	58.364868E-6	491.052818E-3
198.414803E-3	174.845695E-3	537.047768E-3	45.360374E-3	58.364868E-6	491.687393E-3
199.909401E-3	176.301956E-3	538.956070E-3	46.788597E-3	58.364868E-6	492.167473E-3
198.555565E-3	174.552155E-3	538.210487E-3	45.289993E-3	58.364868E-6	492.920494E-3
199.736023E-3	175.583267E-3	539.683342E-3	45.960045E-3	58.364868E-6	493.723297E-3
200.426102E-3	176.065063E-3	540.398026E-3	46.539116E-3	58.364868E-6	493.858910E-3
199.727440E-3	175.254822E-3	540.396881E-3	45.656204E-3	58.364868E-6	494.740677E-3
201.182556E-3	176.640701E-3	542.072868E-3	46.957970E-3	58.364868E-6	495.114899E-3
199.232483E-3	174.820518E-3	540.759087E-3	45.346642E-3	58.364868E-6	495.412445E-3
200.401497E-3	175.782967E-3	541.468048E-3	46.080780E-3	58.364868E-6	495.387268E-3
200.511932E-3	176.112556E-3	540.835762E-3	46.508789E-3	58.364868E-6	494.326973E-3
198.459435E-3	174.853134E-3	536.433792E-3	45.345497E-3	58.364868E-6	491.088295E-3
197.179985E-3	175.365829E-3	530.993843E-3	46.021271E-3	58.364868E-6	484.972572E-3
192.148590E-3	172.332001E-3	520.244980E-3	43.402290E-3	58.364868E-6	476.842690E-3
190.237427E-3	172.463036E-3	512.371445E-3	43.658638E-3	58.364868E-6	468.712807E-3
188.229561E-3	172.132301E-3	506.034279E-3	43.493843E-3	58.364868E-6	462.540436E-3
186.028290E-3	171.059418E-3	501.062393E-3	42.309380E-3	58.364868E-6	458.753014E-3
186.206245E-3	171.968079E-3	499.035072E-3	43.394279E-3	58.364868E-6	455.640793E-3
183.489990E-3	169.781113E-3	495.545197E-3	41.215897E-3	58.364868E-6	454.329300E-3
184.287071E-3	170.681190E-3	495.692825E-3	42.123413E-3	58.364868E-6	453.569412E-3
184.296799E-3	170.907784E-3	494.951248E-3	42.413521E-3	58.364868E-6	452.537727E-3
183.657646E-3	170.185661E-3	494.424248E-3	41.715431E-3	58.364868E-6	452.708817E-3
184.959984E-3	171.506310E-3	496.175194E-3	43.236923E-3	58.364868E-6	452.938271E-3
183.324051E-3	169.571686E-3	494.795036E-3	41.132355E-3	58.364868E-6	453.662682E-3
184.681892E-3	170.595360E-3	496.879005E-3	42.210960E-3	58.364868E-6	454.668045E-3
185.271835E-3	170.822525E-3	498.728943E-3	42.556572E-3	58.364868E-6	456.172371E-3
185.445213E-3	170.590210E-3	499.905396E-3	42.153740E-3	58.364868E-6	457.751656E-3
187.469101E-3	172.141457E-3	503.351784E-3	43.717003E-3	58.364868E-6	459.634781E-3
186.384773E-3	170.515823E-3	504.062462E-3	41.907120E-3	58.364868E-6	462.155342E-3
188.449860E-3	171.859360E-3	507.464218E-3	43.152237E-3	58.364868E-6	464.311981E-3
189.205170E-3	172.005272E-3	510.141563E-3	43.502998E-3	58.364868E-6	466.638565E-3
189.856911E-3	171.966362E-3	512.501907E-3	43.227196E-3	58.364868E-6	469.274712E-3
192.010117E-3	173.573112E-3	516.218376E-3	44.609642E-3	58.364868E-6	471.608734E-3
190.889168E-3	172.053909E-3	516.752815E-3	42.764282E-3	58.364868E-6	473.988533E-3
193.077850E-3	173.510742E-3	520.147705E-3	44.195366E-3	58.364868E-6	475.952339E-3
193.128777E-3	173.392296E-3	521.263504E-3	44.267464E-3	58.364868E-6	476.996040E-3
193.353653E-3	173.152542E-3	522.453690E-3	44.075775E-3	58.364868E-6	478.377914E-3
194.996452E-3	174.542427E-3	524.971390E-3	45.516014E-3	58.364868E-6	479.455376E-3
193.130493E-3	172.528839E-3	523.359489E-3	43.591690E-3	58.364868E-6	479.767799E-3
194.839668E-3	174.108696E-3	525.373077E-3	44.986725E-3	58.364868E-6	480.386353E-3
194.610214E-3	173.695564E-3	525.180817E-3	44.599915E-3	58.364868E-6	480.580902E-3
194.260597E-3	173.323631E-3	524.529648E-3	44.132996E-3	58.364868E-6	480.396652E-3
195.362091E-3	174.583054E-3	525.945282E-3	45.473099E-3	58.364868E-6	480.472183E-3
193.678093E-3	172.777748E-3	524.263573E-3	43.376541E-3	58.364868E-6	480.887032E-3
195.291138E-3	174.397659E-3	525.956154E-3	45.003891E-3	58.364868E-6	480.952263E-3
194.816780E-3	173.881531E-3	526.104927E-3	44.663429E-3	58.364868E-6	481.441498E-3
