Notes :


2018/11/26 ¤U¤È 12:29:32
Volts
Ch : LED 2	Ch : LED 3	Ch : LED 1	Ch : LED 1 AMBIENT	Ch : LED 2 - LED3	Ch : LED 1 - LED 1 AMBIENT	
310.838127E-3	432.598114E-3	815.345192E-3	67.532158E-3	41.770935E-6	747.813034E-3
310.397530E-3	432.194138E-3	815.582085E-3	66.855240E-3	41.770935E-6	748.726845E-3
311.049271E-3	432.644463E-3	817.616844E-3	67.157364E-3	41.770935E-6	750.459480E-3
311.919022E-3	433.289909E-3	819.425011E-3	67.563057E-3	41.770935E-6	751.861954E-3
312.170219E-3	433.372307E-3	820.493317E-3	67.132187E-3	41.770935E-6	753.361130E-3
313.617325E-3	434.612274E-3	823.142052E-3	67.972755E-3	41.770935E-6	755.169296E-3
313.623047E-3	434.476662E-3	824.636078E-3	67.749596E-3	41.770935E-6	756.886482E-3
314.428139E-3	434.984207E-3	827.093124E-3	68.015671E-3	41.770935E-6	759.077454E-3
315.352821E-3	435.524368E-3	828.588295E-3	68.408203E-3	41.770935E-6	760.180092E-3
315.654945E-3	435.687447E-3	830.067444E-3	68.124390E-3	41.770935E-6	761.943054E-3
317.217064E-3	436.756325E-3	832.958221E-3	68.900871E-3	41.770935E-6	764.057350E-3
316.651726E-3	436.285400E-3	833.334160E-3	68.322945E-3	41.770935E-6	765.011215E-3
317.481422E-3	436.826706E-3	835.792923E-3	68.730927E-3	41.770935E-6	767.061996E-3
317.801285E-3	437.015533E-3	835.714531E-3	69.111443E-3	41.770935E-6	766.603088E-3
316.514397E-3	436.061096E-3	832.460403E-3	68.284035E-3	41.770935E-6	764.176369E-3
315.389442E-3	435.682869E-3	828.016090E-3	68.424797E-3	41.770935E-6	759.591293E-3
312.295532E-3	433.658981E-3	820.781136E-3	67.182541E-3	41.770935E-6	753.598595E-3
310.193253E-3	432.438469E-3	815.274811E-3	66.965675E-3	41.770935E-6	748.309135E-3
308.475494E-3	431.527519E-3	810.154724E-3	66.646385E-3	41.770935E-6	743.508339E-3
306.639290E-3	430.084419E-3	805.430603E-3	65.897369E-3	41.770935E-6	739.533234E-3
305.792427E-3	429.806900E-3	802.199936E-3	66.431808E-3	41.770935E-6	735.768127E-3
304.412270E-3	428.693962E-3	798.825073E-3	65.266800E-3	41.770935E-6	733.558273E-3
303.955078E-3	428.271103E-3	797.724724E-3	65.374374E-3	41.770935E-6	732.350349E-3
303.329086E-3	427.934647E-3	795.110893E-3	65.601540E-3	41.770935E-6	729.509354E-3
